"","X","date","county","state","fips","cases","deaths","daily_r"
"2",10840,"2020-03-25","Autauga","Alabama",1001,4,0,1.95987994648485
"3",12378,"2020-03-26","Autauga","Alabama",1001,6,0,1.1526082796018
"4",14047,"2020-03-27","Autauga","Alabama",1001,6,0,1.16094158125635
"5",15837,"2020-03-28","Autauga","Alabama",1001,6,0,1.27565255433391
"6",17732,"2020-03-29","Autauga","Alabama",1001,6,0,1.57241376249505
"7",19715,"2020-03-30","Autauga","Alabama",1001,7,0,1.53046047767707
"8",21801,"2020-03-31","Autauga","Alabama",1001,7,0,1.56324153187409
"9",23968,"2020-04-01","Autauga","Alabama",1001,10,0,1.29113918211599
"10",26199,"2020-04-02","Autauga","Alabama",1001,10,0,1.15806184613198
"11",28489,"2020-04-03","Autauga","Alabama",1001,12,0,1.04106156025725
"12",30845,"2020-04-04","Autauga","Alabama",1001,12,0,1.00301549667049
"13",33250,"2020-04-05","Autauga","Alabama",1001,12,0,1.09482986481645
"14",35693,"2020-04-06","Autauga","Alabama",1001,12,1,1.38591871340506
"15",38182,"2020-04-07","Autauga","Alabama",1001,12,1,1.09367625468746
"16",40721,"2020-04-08","Autauga","Alabama",1001,12,1,0.104132332789667
"17",43286,"2020-04-09","Autauga","Alabama",1001,17,1,0.00115904555018665
"19",1935,"2020-03-14","Baldwin","Alabama",1003,1,0,3.12119762004651
"20",2310,"2020-03-15","Baldwin","Alabama",1003,1,0,1.03172799704098
"21",2739,"2020-03-16","Baldwin","Alabama",1003,1,0,1.22775532187908
"22",3215,"2020-03-17","Baldwin","Alabama",1003,1,0,1.92609787655517
"23",3761,"2020-03-18","Baldwin","Alabama",1003,1,0,1.96687179135374
"24",4401,"2020-03-19","Baldwin","Alabama",1003,1,0,1.83418125007837
"25",5167,"2020-03-20","Baldwin","Alabama",1003,2,0,1.77494990036499
"26",6083,"2020-03-21","Baldwin","Alabama",1003,2,0,1.960651239351
"27",7117,"2020-03-22","Baldwin","Alabama",1003,2,0,1.89426314915012
"28",8255,"2020-03-23","Baldwin","Alabama",1003,3,0,1.67128124565541
"29",9483,"2020-03-24","Baldwin","Alabama",1003,4,0,1.61402529153504
"30",10841,"2020-03-25","Baldwin","Alabama",1003,4,0,2.5281043372337
"31",12379,"2020-03-26","Baldwin","Alabama",1003,5,0,3.13689924284885
"32",14048,"2020-03-27","Baldwin","Alabama",1003,5,0,3.04066635721013
"33",15838,"2020-03-28","Baldwin","Alabama",1003,10,0,2.05617436125205
"34",17733,"2020-03-29","Baldwin","Alabama",1003,15,0,1.62082387844973
"35",19716,"2020-03-30","Baldwin","Alabama",1003,18,0,1.4590903389545
"36",21802,"2020-03-31","Baldwin","Alabama",1003,19,0,1.42887146943205
"37",23969,"2020-04-01","Baldwin","Alabama",1003,23,1,1.33171519229387
"38",26200,"2020-04-02","Baldwin","Alabama",1003,25,1,1.37115093498458
"39",28490,"2020-04-03","Baldwin","Alabama",1003,28,1,1.3982986031315
"40",30846,"2020-04-04","Baldwin","Alabama",1003,29,1,1.44547809035885
"41",33251,"2020-04-05","Baldwin","Alabama",1003,34,1,1.49777551923625
"42",35694,"2020-04-06","Baldwin","Alabama",1003,38,1,1.53413294841643
"43",38183,"2020-04-07","Baldwin","Alabama",1003,42,1,1.10694779539179
"44",40722,"2020-04-08","Baldwin","Alabama",1003,49,1,0.104384180219592
"45",43287,"2020-04-09","Baldwin","Alabama",1003,59,1,0.00116039435231972
"48",30847,"2020-04-04","Barbour","Alabama",1005,2,0,1.79148727933363
"49",33252,"2020-04-05","Barbour","Alabama",1005,2,0,1.71159804635162
"50",35695,"2020-04-06","Barbour","Alabama",1005,3,0,2.55311244687201
"51",38184,"2020-04-07","Barbour","Alabama",1005,3,0,2.27934890051256
"52",40723,"2020-04-08","Barbour","Alabama",1005,3,0,0.219963233356036
"53",43288,"2020-04-09","Barbour","Alabama",1005,7,0,0.0024526103573634
"56",21803,"2020-03-31","Bibb","Alabama",1007,3,0,1.50051982913568
"57",23970,"2020-04-01","Bibb","Alabama",1007,3,0,1.43870384440042
"58",26201,"2020-04-02","Bibb","Alabama",1007,4,0,1.79065634951584
"59",28492,"2020-04-03","Bibb","Alabama",1007,4,0,1.7896528884919
"60",30848,"2020-04-04","Bibb","Alabama",1007,4,0,1.77761553038357
"61",33253,"2020-04-05","Bibb","Alabama",1007,7,0,1.48863893028074
