FIPS,county,state,case,date,daily_r
1001,Autauga,Alabama,1,3/24/20,14.35154435
1001,Autauga,Alabama,4,3/25/20,1.959879877
1001,Autauga,Alabama,6,3/26/20,1.114689303
1001,Autauga,Alabama,6,3/27/20,1.044485003
1001,Autauga,Alabama,6,3/28/20,1.192356644
1001,Autauga,Alabama,6,3/29/20,1.392011769
1001,Autauga,Alabama,6,3/30/20,1.647259891
1001,Autauga,Alabama,7,3/31/20,1.690328542
1001,Autauga,Alabama,8,4/1/20,1.469327033
1001,Autauga,Alabama,10,4/2/20,1.21346672
1001,Autauga,Alabama,12,4/3/20,1.045284678
1001,Autauga,Alabama,12,4/4/20,1.003060873
1001,Autauga,Alabama,12,4/5/20,1.056910894
1001,Autauga,Alabama,12,4/6/20,1.269470674
1001,Autauga,Alabama,12,4/7/20,1.435373664
1001,Autauga,Alabama,12,4/8/20,1.489387664
1001,Autauga,Alabama,15,4/9/20,1.291180665
1001,Autauga,Alabama,17,4/10/20,1.174540882
1001,Autauga,Alabama,19,4/11/20,1.238041934
1001,Autauga,Alabama,19,4/12/20,1.280426178
1001,Autauga,Alabama,19,4/13/20,1.301568362
1001,Autauga,Alabama,23,4/14/20,1.156689263
1001,Autauga,Alabama,24,4/15/20,1.048496827
1001,Autauga,Alabama,26,4/16/20,1.034087483
1001,Autauga,Alabama,26,4/17/20,1.099448285
1001,Autauga,Alabama,25,4/18/20,1.188939829
1003,Baldwin,Alabama,1,3/15/20,3.121198039
1003,Baldwin,Alabama,1,3/16/20,1.259241824
1003,Baldwin,Alabama,1,3/17/20,1.926338952
1003,Baldwin,Alabama,1,3/18/20,1.966871792
1003,Baldwin,Alabama,1,3/19/20,1.83418125
1003,Baldwin,Alabama,2,3/20/20,1.7749499
1003,Baldwin,Alabama,2,3/21/20,1.960651239
1003,Baldwin,Alabama,2,3/22/20,1.894263149
1003,Baldwin,Alabama,3,3/23/20,1.671281246
1003,Baldwin,Alabama,4,3/24/20,1.614025292
1003,Baldwin,Alabama,4,3/25/20,2.528104337
