X,State,date,cases,Gather,lock_down,school_close,business_close,restaurant_close,quarantine,curfew,emergdec,travel,Mask,Social_Distancing,SD_relative,M_relative,LD_relative
1,Alabama,1/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Alabama,1/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Alabama,1/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Alabama,1/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Alabama,1/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,Alabama,1/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,Alabama,1/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,Alabama,1/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,Alabama,1/30/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,Alabama,1/31/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691,Alabama,2/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,Alabama,2/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,Alabama,2/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898,Alabama,2/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
967,Alabama,2/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036,Alabama,2/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,Alabama,2/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,Alabama,2/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1243,Alabama,2/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,Alabama,2/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1381,Alabama,2/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450,Alabama,2/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1519,Alabama,2/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588,Alabama,2/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657,Alabama,2/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1726,Alabama,2/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1795,Alabama,2/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1864,Alabama,2/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,Alabama,2/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Alabama,2/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,Alabama,2/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2140,Alabama,2/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2209,Alabama,2/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2278,Alabama,2/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2347,Alabama,2/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2416,Alabama,2/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2485,Alabama,2/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2554,Alabama,2/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2623,Alabama,2/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2692,Alabama,3/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2761,Alabama,3/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2830,Alabama,3/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2899,Alabama,3/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2968,Alabama,3/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3037,Alabama,3/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3106,Alabama,3/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3175,Alabama,3/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3244,Alabama,3/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3313,Alabama,3/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3382,Alabama,3/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3451,Alabama,3/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3520,Alabama,3/13/20,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3589,Alabama,3/14/20,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
3658,Alabama,3/15/20,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0
3727,Alabama,3/16/20,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0
3796,Alabama,3/17/20,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0
3865,Alabama,3/18/20,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0
3934,Alabama,3/19/20,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0
4003,Alabama,3/20/20,0,0,0,0,1,0,0,0,1,0,0,1,7,0,0
4072,Alabama,3/21/20,0,0,0,0,1,0,0,0,1,0,0,1,8,0,0
4141,Alabama,3/22/20,0,0,0,0,1,0,0,0,1,0,0,1,9,0,0
4210,Alabama,3/23/20,0,0,0,0,1,0,0,0,1,0,0,1,10,0,0
4279,Alabama,3/24/20,0,0,0,0,1,0,0,0,1,0,0,1,11,0,0
4348,Alabama,3/25/20,4,0,0,0,1,0,0,0,1,0,0,1,12,0,0
4417,Alabama,3/26/20,6,0,0,0,1,0,0,0,1,0,0,1,13,0,0
4486,Alabama,3/27/20,6,0,0,0,1,0,0,0,1,0,0,1,14,0,0
4555,Alabama,3/28/20,15,0,0,0,1,0,0,0,1,0,0,1,15,0,0
4624,Alabama,3/29/20,6,0,0,0,1,0,0,0,1,0,0,1,16,0,0
4693,Alabama,3/30/20,6,0,0,0,1,0,0,0,1,0,0,1,17,0,0
4762,Alabama,3/31/20,7,0,0,0,1,0,0,0,1,0,0,1,18,0,0
4831,Alabama,4/1/20,8,0,0,0,1,0,0,0,1,0,0,1,19,0,0
4900,Alabama,4/2/20,10,0,0,0,1,0,0,0,1,0,0,1,20,0,0
4969,Alabama,4/3/20,12,0,0,0,1,0,0,0,1,0,0,1,21,0,0
5038,Alabama,4/4/20,6,0,1,0,1,0,0,0,1,0,1,1,22,0,0
5107,Alabama,4/5/20,12,0,1,0,1,0,0,0,1,0,1,1,23,1,1
5176,Alabama,4/6/20,12,0,1,0,1,0,0,0,1,0,1,1,24,2,2
5245,Alabama,4/7/20,12,0,1,0,1,0,0,0,1,0,1,1,25,3,3
5314,Alabama,4/8/20,12,0,1,0,1,0,0,0,1,0,1,1,26,4,4
5383,Alabama,4/9/20,15,0,1,0,1,0,0,0,1,0,1,1,27,5,5
5452,Alabama,4/10/20,17,0,1,0,1,0,0,0,1,0,1,1,28,6,6
5521,Alabama,4/11/20,19,0,1,0,1,0,0,0,1,0,1,1,29,7,7
5590,Alabama,4/12/20,19,0,1,0,1,0,0,0,1,0,1,1,30,8,8
5659,Alabama,4/13/20,19,0,1,0,1,0,0,0,1,0,1,1,31,9,9
5728,Alabama,4/14/20,23,0,1,0,1,0,0,0,1,0,1,1,32,10,10
5797,Alabama,4/15/20,24,0,1,0,1,0,0,0,1,0,1,1,33,11,11
5866,Alabama,4/16/20,26,0,1,0,1,0,0,0,1,0,1,1,34,12,12
5935,Alabama,4/17/20,26,0,1,0,1,0,0,0,1,0,1,1,35,13,13
6004,Alabama,4/18/20,25,0,1,0,1,0,0,0,1,0,1,1,36,14,14
6073,Alabama,4/19/20,26,0,1,0,1,0,0,0,1,0,1,1,37,15,15
6142,Alabama,4/20/20,28,0,1,0,1,0,0,0,1,0,1,1,38,16,16
6211,Alabama,4/21/20,30,0,1,0,1,0,0,0,1,0,1,1,39,17,17
6280,Alabama,4/22/20,32,0,1,0,1,0,0,0,1,0,1,1,40,18,18
6349,Alabama,4/23/20,33,0,1,0,1,0,0,0,1,0,1,1,41,19,19
6418,Alabama,4/24/20,36,0,1,0,1,0,0,0,1,0,1,1,42,20,20
6487,Alabama,4/25/20,36,0,1,0,1,0,0,0,1,0,1,1,43,21,21
6556,Alabama,4/26/20,37,0,1,0,1,0,0,0,1,0,1,1,44,22,22
6625,Alabama,4/27/20,39,0,1,0,1,0,0,0,1,0,1,1,45,23,23
6694,Alabama,4/28/20,40,0,1,0,1,0,0,0,1,0,1,1,46,24,24
6763,Alabama,4/29/20,0,0,1,0,1,0,0,0,1,0,1,1,47,25,25
6832,Alabama,4/30/20,44,0,1,0,1,0,0,0,1,0,1,1,48,26,26
6901,Alabama,5/1/20,42,0,1,0,1,0,0,0,1,0,1,1,49,27,27
6970,Alabama,5/2/20,0,0,1,0,1,0,0,0,1,0,1,1,50,28,28
7039,Alabama,5/3/20,48,0,1,0,1,0,0,0,1,0,1,1,51,29,29
7108,Alabama,5/4/20,53,0,1,0,1,0,0,0,1,0,1,1,52,30,30
7177,Alabama,5/5/20,53,0,1,0,1,0,0,0,1,0,1,1,53,31,31
7246,Alabama,5/6/20,58,0,1,0,1,0,0,0,1,0,1,1,54,32,32
7315,Alabama,5/7/20,0,0,1,0,1,0,0,0,1,0,1,1,55,33,33
7384,Alabama,5/8/20,67,0,1,0,1,0,0,0,1,0,1,1,56,34,34
7453,Alaska,1/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7484,Alaska,1/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7515,Alaska,1/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7546,Alaska,1/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7577,Alaska,1/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7608,Alaska,1/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7639,Alaska,1/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7670,Alaska,1/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7701,Alaska,1/30/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7732,Alaska,1/31/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7763,Alaska,2/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7794,Alaska,2/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7825,Alaska,2/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7856,Alaska,2/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7887,Alaska,2/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7918,Alaska,2/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7949,Alaska,2/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7980,Alaska,2/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8011,Alaska,2/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8042,Alaska,2/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8073,Alaska,2/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8104,Alaska,2/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8135,Alaska,2/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8166,Alaska,2/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8197,Alaska,2/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8228,Alaska,2/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8259,Alaska,2/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8290,Alaska,2/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8321,Alaska,2/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8352,Alaska,2/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8383,Alaska,2/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8414,Alaska,2/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8445,Alaska,2/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8476,Alaska,2/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8507,Alaska,2/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8538,Alaska,2/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
