"","FIPS","State","Countynames","lowerthan_HS","with_HS","with_BS","BS_higher"
"3",1001,"AL","Autauga County",11.3,32.6,28.4,27.7
"4",1003,"AL","Baldwin County",9.7,27.6,31.3,31.3
"5",1005,"AL","Barbour County",27,35.7,25.1,12.2
"6",1007,"AL","Bibb County",16.8,47.3,24.4,11.5
"7",1009,"AL","Blount County",19.8,34,33.5,12.6
"8",1011,"AL","Bullock County",24.8,39.7,22.3,13.3
"9",1013,"AL","Butler County",15.4,43.9,24.6,16.1
"10",1015,"AL","Calhoun County",15.9,32.4,33.7,18
"11",1017,"AL","Chambers County",18.6,38.4,29.7,13.2
"12",1019,"AL","Cherokee County",19.8,38.3,29,12.9
"13",1021,"AL","Chilton County",17.8,44.1,24,14.2
"14",1023,"AL","Choctaw County",18.6,38.2,30.2,13
"15",1025,"AL","Clarke County",18.8,43.7,24.9,12.6
"16",1027,"AL","Clay County",24.5,36.3,29.1,10.2
"17",1029,"AL","Cleburne County",22.6,39.6,24.1,13.7
"18",1031,"AL","Coffee County",13.8,27.9,34.9,23.4
"19",1033,"AL","Colbert County",15.6,36,29.7,18.7
"20",1035,"AL","Conecuh County",19.2,48.8,21.3,10.7
"21",1037,"AL","Coosa County",20.4,38.6,29.5,11.6
"22",1039,"AL","Covington County",17.1,35.4,32.5,14.9
"23",1041,"AL","Crenshaw County",21.6,38.8,24,15.6
"24",1043,"AL","Cullman County",18.2,35.6,32.4,13.7
"25",1045,"AL","Dale County",14.2,32.7,36.1,17
"26",1047,"AL","Dallas County",19.3,35.2,30.4,15.1
"27",1049,"AL","DeKalb County",25.9,33.3,28.1,12.7
"28",1051,"AL","Elmore County",13.6,32.8,29,24.5
"29",1053,"AL","Escambia County",18.5,44.5,24.4,12.7
"30",1055,"AL","Etowah County",15.5,32.9,33.9,17.7
"31",1057,"AL","Fayette County",17.6,41.5,27.9,12.9
"32",1059,"AL","Franklin County",23.2,36.8,27.1,12.9
"33",1061,"AL","Geneva County",20.9,37.2,30.8,11.1
"34",1063,"AL","Greene County",24.1,36.8,29,10.1
"35",1065,"AL","Hale County",16.4,42.6,26.9,14.1
"36",1067,"AL","Henry County",19.8,33.5,28.7,18
"37",1069,"AL","Houston County",14.3,31.6,33,21
"38",1071,"AL","Jackson County",17.5,40.8,27.5,14.2
"39",1073,"AL","Jefferson County",10.3,26.8,30.6,32.4
"40",1075,"AL","Lamar County",17.6,39.9,30,12.5
"41",1077,"AL","Lauderdale County",12.6,36,27.5,23.9
"42",1079,"AL","Lawrence County",21,41.5,25.8,11.7
"43",1081,"AL","Lee County",9.5,24.1,32.3,34.1
"44",1083,"AL","Limestone County",15.7,30.3,28.5,25.5
"45",1085,"AL","Lowndes County",22.5,38.6,24.8,14.1
"46",1087,"AL","Macon County",18.3,30.1,30.9,20.7
"47",1089,"AL","Madison County",8.9,20.8,28.6,41.7
"48",1091,"AL","Marengo County",16.2,39.8,28.6,15.4
"49",1093,"AL","Marion County",20.3,34.8,31.7,13.1
"50",1095,"AL","Marshall County",19.1,31.1,30.5,19.2
"51",1097,"AL","Mobile County",13.8,33.5,29.8,22.9
"52",1099,"AL","Monroe County",16.3,46.1,23.5,14.1
"53",1101,"AL","Montgomery County",14.4,25.5,28,32.1
"54",1103,"AL","Morgan County",16.7,29.6,32,21.7
"55",1105,"AL","Perry County",21.9,39.4,22.9,15.7
"56",1107,"AL","Pickens County",19.4,36.7,30.4,13.5
"57",1109,"AL","Pike County",19,33.3,24.2,23.6
"58",1111,"AL","Randolph County",21.2,36.3,27.5,14.9
"59",1113,"AL","Russell County",16.7,32.3,34.5,16.5
"60",1115,"AL","St. Clair County",15.2,36,32.3,16.5
"61",1117,"AL","Shelby County",7.8,20.3,29.7,42.1
"62",1119,"AL","Sumter County",15.8,37.8,24.6,21.8
"63",1121,"AL","Talladega County",19,34.9,31.8,14.3
"64",1123,"AL","Tallapoosa County",19.5,32.9,29.2,18.3
"65",1125,"AL","Tuscaloosa County",11.6,29.9,28.3,30.3
"66",1127,"AL","Walker County",19.1,37.1,32.2,11.6
"67",1129,"AL","Washington County",19.6,43.2,26.1,11.1
"68",1131,"AL","Wilcox County",23.1,40.3,24.1,12.5
"69",1133,"AL","Winston County",21.9,37.4,27.3,13.5
"70",2000,"AK","Alaska",7.3,28,35.5,29.2
"71",2010,"AK","Aleutian Islands",NA,NA,NA,NA
"72",2013,"AK","Aleutians East Borough",13.6,40.2,33.4,12.7
"73",2016,"AK","Aleutians West Census Area",11.2,40.5,31.9,16.4
"74",2020,"AK","Anchorage Municipality",6.2,23.8,34.7,35.3
"75",2050,"AK","Bethel Census Area",18.6,45.2,23.9,12.3
"76",2060,"AK","Bristol Bay Borough",5.6,34.9,37.2,22.3
"77",2068,"AK","Denali Borough",1.6,26.1,28.8,43.5
"78",2070,"AK","Dillingham Census Area",12.7,39.2,28.8,19.3
"79",2090,"AK","Fairbanks North Star Borough",5.5,22.3,39.7,32.6
"80",2100,"AK","Haines Borough",3,30,29.5,37.4
"81",2105,"AK","Hoonah-Angoon Census Area",8.5,35.6,32.5,23.4
"82",2110,"AK","Juneau City and Borough",3.9,20.4,36.2,39.5
"83",2122,"AK","Kenai Peninsula Borough",7.2,32.2,37.3,23.3
"84",2130,"AK","Ketchikan Gateway Borough",7.3,29.9,38.3,24.5
"85",2150,"AK","Kodiak Island Borough",10.1,31.3,32.6,26
"86",2158,"AK","Kusilvak Census Area",22.3,53.6,19.3,4.8
"87",2160,"AK","Kuskokwim Division",NA,NA,NA,NA
"88",2164,"AK","Lake and Peninsula Borough",14.5,41.9,27.9,15.8
"89",2170,"AK","Matanuska-Susitna Borough",7.6,32.2,39,21.2
"90",2180,"AK","Nome Census Area",15.9,42.9,26.6,14.6
"91",2185,"AK","North Slope Borough",10.2,43,30.2,16.6
"92",2188,"AK","Northwest Arctic Borough",18.1,47.3,22.8,11.7
"93",2195,"AK","Petersburg Census Area",10.3,31.9,30.3,27.6
"94",2198,"AK","Prince of Wales-Hyder Census Area",9.8,37.3,35.3,17.6
"95",2201,"AK","Prince of Wales-Outer Ketchikan Census Area",NA,NA,NA,NA
"96",2220,"AK","Sitka City and Borough",6,28.3,33,32.6
"97",2230,"AK","Skagway Municipality",6.3,23.4,36.6,33.7
"98",2231,"AK","Skagway-Yakutat-Angoon Census Area",NA,NA,NA,NA
"99",2232,"AK","Skagway-Hoonah-Angoon Census Area",NA,NA,NA,NA
"100",2240,"AK","Southeast Fairbanks Census Area",9.8,32.6,38.5,19.1
"101",2250,"AK","Upper Yukon Division",NA,NA,NA,NA
"102",2261,"AK","Valdez-Cordova Census Area",4,32.7,32.7,30.6
"103",2275,"AK","Wrangell City and Borough",11.7,37.6,30,20.7
"104",2280,"AK","Wrangell-Petersburg Census Area",NA,NA,NA,NA
"105",2282,"AK","Yakutat City and Borough",8.2,38.4,33.5,20
"106",2290,"AK","Yukon-Koyukuk Census Area",14.3,40.3,32,13.4
"108",4001,"AZ","Apache County",20.4,33.1,34.8,11.7
"109",4003,"AZ","Cochise County",12.8,23.5,40.7,23
"110",4005,"AZ","Coconino County",10.4,21.4,32.6,35.6
"111",4007,"AZ","Gila County",14.7,28.6,38.2,18.5
"112",4009,"AZ","Graham County",14.4,29.9,40.5,15.3
"113",4011,"AZ","Greenlee County",11,36.2,40.9,11.9
"114",4012,"AZ","La Paz County",22.7,33,32,12.4
"115",4013,"AZ","Maricopa County",12.6,22.6,32.8,32
"116",4015,"AZ","Mohave County",14.7,34.8,37.6,12.9
"117",4017,"AZ","Navajo County",17.2,30.1,36.9,15.8
"118",4019,"AZ","Pima County",11.7,22.5,34,31.9
"119",4021,"AZ","Pinal County",14.6,29.7,36.8,19
"120",4023,"AZ","Santa Cruz County",24.4,27.2,27.4,21
"121",4025,"AZ","Yavapai County",9.7,25.7,39.4,25.2
"122",4027,"AZ","Yuma County",27.9,25.9,31.4,14.8
"124",5001,"AR","Arkansas County",17,38.3,29.2,15.5
"125",5003,"AR","Ashley County",17.7,39.9,29.2,13.2
"126",5005,"AR","Baxter County",11.8,35,34.8,18.3
"127",5007,"AR","Benton County",11.9,29.1,26.5,32.4
"128",5009,"AR","Boone County",13,33.8,37.2,16
"129",5011,"AR","Bradley County",18,41.6,25.1,15.2
"130",5013,"AR","Calhoun County",17.3,43.6,27,12.1
"131",5015,"AR","Carroll County",14.2,34.6,30.8,20.4
"132",5017,"AR","Chicot County",19.3,39.2,26.7,14.7
"133",5019,"AR","Clark County",10.8,30.5,31,27.6
"134",5021,"AR","Clay County",19.3,41.2,27.8,11.6
"135",5023,"AR","Cleburne County",15.3,40.7,29.1,14.9
"136",5025,"AR","Cleveland County",11.4,47.2,25.2,16.2
"137",5027,"AR","Columbia County",15,39.9,24.5,20.6
"138",5029,"AR","Conway County",14.1,43.4,26.5,16
"139",5031,"AR","Craighead County",10.9,34.1,28.7,26.3
"140",5033,"AR","Crawford County",14.8,37.4,32.4,15.3
"141",5035,"AR","Crittenden County",17.6,35,29.4,18
"142",5037,"AR","Cross County",17.2,41.5,25.8,15.4
"143",5039,"AR","Dallas County",16.4,43.4,26.6,13.7
"144",5041,"AR","Desha County",21.2,44,22.4,12.4
"145",5043,"AR","Drew County",14.9,35.4,29.1,20.6
"146",5045,"AR","Faulkner County",8.7,30.5,30.7,30
"147",5047,"AR","Franklin County",17.4,40.1,30.7,11.8
"148",5049,"AR","Fulton County",15.4,37.2,35.6,11.8
"149",5051,"AR","Garland County",11.6,31.5,36.7,20.2
"150",5053,"AR","Grant County",8.5,44.2,29,18.3
"151",5055,"AR","Greene County",12.7,44.2,27.2,15.9
"152",5057,"AR","Hempstead County",19,36.9,28.9,15.1
"153",5059,"AR","Hot Spring County",14.6,39.6,31.1,14.7
"154",5061,"AR","Howard County",17.1,37.3,30.8,14.7
"155",5063,"AR","Independence County",14.2,35.8,31,18.9
"156",5065,"AR","Izard County",14.9,37.8,33.5,13.8
"157",5067,"AR","Jackson County",21.1,41.1,27.7,10.2
"158",5069,"AR","Jefferson County",14,38.5,29.7,17.8
"159",5071,"AR","Johnson County",20.6,41.2,22.3,15.8
"160",5073,"AR","Lafayette County",18.3,41.3,24,16.5
"161",5075,"AR","Lawrence County",14.5,40.4,30.1,15
"162",5077,"AR","Lee County",27,40.8,23.3,8.9
"163",5079,"AR","Lincoln County",18.7,50.3,22.1,8.9
"164",5081,"AR","Little River County",11.8,42.7,34,11.4
"165",5083,"AR","Logan County",14.9,45,28,12.1
"166",5085,"AR","Lonoke County",11.3,35.1,33.3,20.3
"167",5087,"AR","Madison County",20.3,45.6,21.6,12.5
"168",5089,"AR","Marion County",13.1,36.8,32.8,17.2
"169",5091,"AR","Miller County",14,35.9,33.5,16.6
"170",5093,"AR","Mississippi County",19.3,38.6,29.3,12.8
"171",5095,"AR","Monroe County",22.9,43,23.6,10.5
"172",5097,"AR","Montgomery County",21.8,36.5,30.9,10.8
"173",5099,"AR","Nevada County",13.2,43.8,27.6,15.4
"174",5101,"AR","Newton County",17.4,40.8,25.6,16.2
"175",5103,"AR","Ouachita County",14.4,41.6,28,16
"176",5105,"AR","Perry County",16.6,40.7,30.8,11.9
"177",5107,"AR","Phillips County",21.6,30.1,34.3,14
"178",5109,"AR","Pike County",15.2,38.9,31.2,14.7
"179",5111,"AR","Poinsett County",19.4,44.3,26.3,10.1
"180",5113,"AR","Polk County",15.4,37.4,34,13.3
"181",5115,"AR","Pope County",15.2,35.5,27.4,22
"182",5117,"AR","Prairie County",17.8,40,27.1,15.1
"183",5119,"AR","Pulaski County",9.6,26.2,30.2,34.1
"184",5121,"AR","Randolph County",17.3,35.6,33.1,14
"185",5123,"AR","St. Francis County",19.4,38.8,31.2,10.6
"186",5125,"AR","Saline County",9.6,31.5,32.9,26.1
"187",5127,"AR","Scott County",21.1,43,26.8,9.1
"188",5129,"AR","Searcy County",15.5,45.1,26.9,12.5
"189",5131,"AR","Sebastian County",16.8,32,31.4,19.7
"190",5133,"AR","Sevier County",25.7,36.1,26.7,11.5
"191",5135,"AR","Sharp County",16.4,42,30.3,11.3
"192",5137,"AR","Stone County",20.4,36.3,30.5,12.8
"193",5139,"AR","Union County",15.2,35.2,28.7,20.8
"194",5141,"AR","Van Buren County",14.2,43.9,27.8,14.1
"195",5143,"AR","Washington County",15,26.3,25.8,32.8
"196",5145,"AR","White County",14.6,38.4,25.6,21.4
"197",5147,"AR","Woodruff County",20,42.5,25.5,12
"198",5149,"AR","Yell County",19.9,40.9,25.7,13.5
"200",6001,"CA","Alameda County",12,17.6,24.4,46
"201",6003,"CA","Alpine County",11.1,28.7,30.2,30
"202",6005,"CA","Amador County",9.7,28.7,41.3,20.3
"203",6007,"CA","Butte County",10.7,22.7,40,26.5
"204",6009,"CA","Calaveras County",9.6,27.6,44,18.7
"205",6011,"CA","Colusa County",30.6,23.7,30.3,15.4
"206",6013,"CA","Contra Costa County",10.6,17.6,30.1,41.7
"207",6015,"CA","Del Norte County",19,31.5,35.2,14.3
"208",6017,"CA","El Dorado County",6.9,21.2,38.2,33.7
"209",6019,"CA","Fresno County",24.7,22.9,31.7,20.7
"210",6021,"CA","Glenn County",24.7,28.2,33.2,13.9
"211",6023,"CA","Humboldt County",9.7,23.5,37.1,29.8
"212",6025,"CA","Imperial County",31,24.5,30,14.5
"213",6027,"CA","Inyo County",11.2,29.3,33.5,26.1
"214",6029,"CA","Kern County",26.2,27.7,30,16.1
"215",6031,"CA","Kings County",26.3,25.5,34.7,13.5
"216",6033,"CA","Lake County",14.8,30.1,39.3,15.8
"217",6035,"CA","Lassen County",17.2,33.2,37.5,12
"218",6037,"CA","Los Angeles County",21.3,20.7,26.2,31.8
"219",6039,"CA","Madera County",28.1,25,32.4,14.5
"220",6041,"CA","Marin County",6.8,10.9,23.5,58.8
"221",6043,"CA","Mariposa County",9.6,26.5,40.4,23.4
"222",6045,"CA","Mendocino County",13.1,25.8,36.5,24.7
"223",6047,"CA","Merced County",30.6,25.8,29.6,14
"224",6049,"CA","Modoc County",14.4,32.3,37.4,15.9
"225",6051,"CA","Mono County",11.3,22.8,35.3,30.6
"226",6053,"CA","Monterey County",28.7,20.4,26.4,24.5
"227",6055,"CA","Napa County",14.9,18,32.2,34.9
