"","FIPS","essential_job_numbers"
"1","1001",34836
"2","1003",97844
"3","1005",53151
"4","1007",42574
"5","1009",22121
"6","1011",25080
"7","1013",73326
"8","1015",43460
"9","1017",76835
"10","1019",33740
"11","1021",61238
"12","1023",30260
"13","1025",71461
"14","1027",30886
"15","1029",43684
"16","1031",76685
"17","1033",51858
"18","1035",52331
"19","1037",35467
"20","1039",74467
"21","1041",26955
"22","1043",38939
"23","1045",61716
"24","1047",68392
"25","1049",27977
"26","1051",45445
"27","1053",93531
"28","1055",33056
"29","1057",59221
"30","1059",52739
"31","1061",75407
"32","1063",52567
"33","1065",52906
"34","1067",73089
"35","1069",33505
"36","1071",35022
"37","1073",63243
"38","1075",23455
"39","1077",23314
"40","1079",46035
"41","1081",84021
"42","1083",82193
"43","1085",33766
"44","1087",20906
"45","1089",44295
"46","1091",51853
"47","1093",68182
"48","1095",21608
"49","1097",110482
"50","1099",55093
"51","1101",79162
"52","1103",72731
"53","1105",37771
"54","1107",33605
"55","1109",40342
"56","1111",49662
"57","1113",65713
"58","1115",44675
"59","1117",99863
"60","1119",35808
"61","1121",52898
"62","1123",40089
"63","1125",67518
"64","1127",72876
"65","1129",39467
"66","1131",38887
"67","1133",38532
"68","2010",21
"69","2013",29639
"70","2016",33841
"71","2020",79837
"72","2050",36129
"73","2060",51505
"74","2068",34761
"75","2070",34555
"76","2090",84527
"77","2100",25995
"78","2105",16165
"79","2110",53086
"80","2122",38555
"81","2130",50498
"82","2150",28086
"83","2158",14231
"84","2164",41641
"85","2170",87202
"86","2180",58236
"87","2185",45905
"88","2188",43724
"89","2195",27595
"90","2198",11695
"91","2201",21
"92","2220",52056
"93","2230",52562
"94","2231",21
"95","2232",21
"96","2240",50352
"97","2261",70825
"98","2275",63437
"99","2280",21
"100","2282",44026
"101","2290",16425
"102","2901",21
"103","2903",21
"104","2904",21
"105","2905",21
"106","2907",21
"107","2908",21
"108","2910",21
"109","2912",21
"110","2916",21
"111","2919",21
"112","2920",21
"113","2921",21
"114","2922",21
"115","2923",21
"116","2924",21
"117","2925",21
"118","2926",21
"119","2928",21
"120","2929",21
"121","4001",65729
"122","4003",77320
"123","4005",56977
"124","4007",45972
"125","4009",55438
"126","4011",14555
"127","4012",34161
"128","4013",77359
"129","4015",60917
"130","4017",72303
"131","4019",80182
"132","4021",79626
"133","4023",68243
"134","4025",74008
"135","4027",60627
"136","5001",77097
"137","5003",37390
"138","5005",52566
"139","5007",84810
"140","5009",55152
"141","5011",36834
"142","5013",33691
"143","5015",62629
"144","5017",70760
"145","5019",54619
"146","5021",29014
"147","5023",71391
"148","5025",30922
"149","5027",72603
"150","5029",104152
"151","5031",47655
"152","5033",75780
"153","5035",68515
"154","5037",68149
"155","5039",51761
"156","5041",24210
"157","5043",71916
"158","5045",72777
"159","5047",36225
"160","5049",30815
"161","5051",64372
"162","5053",28447
"163","5055",55535
"164","5057",25752
"165","5059",48446
"166","5061",43618
"167","5063",67998
"168","5065",29723
"169","5067",54199
"170","5069",67662
"171","5071",43941
"172","5073",56001
"173","5075",60775
"174","5077",6128
"175","5079",38357
"176","5081",47326
"177","5083",75443
"178","5085",59830
"179","5087",42055
"180","5089",32696
"181","5091",30856
"182","5093",57160
"183","5095",43400
"184","5097",44734
"185","5099",18553
"186","5101",34762
"187","5103",87681
"188","5105",36082
"189","5107",64625
"190","5109",33003
"191","5111",64424
"192","5113",63222
"193","5115",53081
"194","5117",47795
"195","5119",32924
"196","5121",29324
"197","5123",57012
"198","5125",57644
"199","5127",10505
"200","5129",53791
"201","5131",51919
"202","5133",21879
"203","5135",34205
"204","5137",59993
"205","5139",70952
"206","5141",85598
"207","5143",71710
"208","5145",64554
"209","5147",29495
"210","5149",38939
"211","6001",107375
"212","6003",38293
"213","6005",47270
"214","6007",74998
"215","6009",44184
"216","6011",54194
"217","6013",38289
"218","6015",50778
"219","6017",71043
"220","6019",66854
"221","6021",81675
"222","6023",26862
"223","6025",77755
"224","6027",35765
"225","6029",36860
"226","6031",46240
