"","State","Countynames","Code","FIPS","Population"
"1","Alabama","Autauga ","AL",1001,111202
"2","Alabama","Baldwin ","AL",1003,436044
"3","Alabama","Barbour ","AL",1005,49762
"4","Alabama","Bibb ","AL",1007,44800
"5","Alabama","Blount ","AL",1009,115680
"6","Alabama","Bullock ","AL",1011,20276
"7","Alabama","Butler ","AL",1013,39360
"8","Alabama","Calhoun ","AL",1015,228554
"9","Alabama","Chambers ","AL",1017,67230
"10","Alabama","Cherokee ","AL",1019,52064
"11","Alabama","Chilton ","AL",1021,88306
"12","Alabama","Choctaw ","AL",1023,25682
"13","Alabama","Clarke ","AL",1025,47840
"14","Alabama","Clay ","AL",1027,26550
"15","Alabama","Cleburne ","AL",1029,29974
"16","Alabama","Coffee ","AL",1031,103818
"17","Alabama","Colbert ","AL",1033,109524
"18","Alabama","Conecuh ","AL",1035,24554
"19","Alabama","Coosa ","AL",1037,21430
"20","Alabama","Covington ","AL",1039,73972
"21","Alabama","Crenshaw ","AL",1041,27648
"22","Alabama","Cullman ","AL",1043,166884
"23","Alabama","Dale ","AL",1045,97912
"24","Alabama","Dallas ","AL",1047,76620
"25","Alabama","DeKalb ","AL",1049,142770
"26","Alabama","Elmore ","AL",1051,163774
"27","Alabama","Escambia ","AL",1053,73496
"28","Alabama","Etowah ","AL",1055,205002
"29","Alabama","Fayette ","AL",1057,32866
"30","Alabama","Franklin ","AL",1059,62726
"31","Alabama","Geneva ","AL",1061,52628
"32","Alabama","Greene ","AL",1063,16466
"33","Alabama","Hale ","AL",1065,29452
"34","Alabama","Henry ","AL",1067,34418
"35","Alabama","Houston ","AL",1069,209444
"36","Alabama","Jackson ","AL",1071,103472
"37","Alabama","Jefferson ","AL",1073,1318600
"38","Alabama","Lamar ","AL",1075,27688
"39","Alabama","Lauderdale ","AL",1077,184774
"40","Alabama","Lawrence ","AL",1079,65914
"41","Alabama","Lee ","AL",1081,327882
"42","Alabama","Limestone ","AL",1083,192348
"43","Alabama","Lowndes ","AL",1085,19948
"44","Alabama","Macon ","AL",1087,36878
"45","Alabama","Madison ","AL",1089,733038
"46","Alabama","Marengo ","AL",1091,38132
"47","Alabama","Marion ","AL",1093,59526
"48","Alabama","Marshall ","AL",1095,192218
"49","Alabama","Mobile ","AL",1097,827514
"50","Alabama","Monroe ","AL",1099,42134
"51","Alabama","Montgomery ","AL",1101,451526
"52","Alabama","Morgan ","AL",1103,238178
"53","Alabama","Perry ","AL",1105,18280
"54","Alabama","Pickens ","AL",1107,39876
"55","Alabama","Pike ","AL",1109,66676
"56","Alabama","Randolph ","AL",1111,45450
"57","Alabama","Russell ","AL",1113,115562
"58","Alabama","Shelby ","AL",1117,431414
"59","Alabama","St. Clair ","AL",1115,177380
"60","Alabama","Sumter ","AL",1119,25382
"61","Alabama","Talladega ","AL",1121,159656
"62","Alabama","Tallapoosa ","AL",1123,80994
"63","Alabama","Tuscaloosa ","AL",1125,417822
"64","Alabama","Walker ","AL",1127,127422
"65","Alabama","Washington ","AL",1129,32756
"66","Alabama","Wilcox ","AL",1131,21254
"67","Alabama","Winston ","AL",1133,47320
"68","Alaska","Aleutians East B","AK",2013,7030
"69","Alaska","Aleutians West Censu","AK",2016,11446
"70","Alaska","Bethel Censu","AK",2050,36432
"71","Alaska","Bristol Bay B","AK",2060,1754
"72","Alaska","Denali B","AK",2068,4118
"73","Alaska","Dillingham Censu","AK",2070,10000
"74","Alaska","Fairbanks North Star B","AK",2090,197942
"75","Alaska","Haines B","AK",2100,4948
"76","Alaska","Hoonah-Angoon Censu","AK",2105,4302
"77","Alaska","Kenai Peninsula B","AK",2122,117066
"78","Alaska","Ketchikan Gateway B","AK",2130,27836
"79","Alaska","Kodiak Island B","AK",2150,26690
"80","Alaska","Kusilvak Censu","AK",2158,16606
"81","Alaska","Lake and Peninsula B","AK",2164,3174
"82","Alaska","Matanuska-Susitna B","AK",2170,215220
"83","Alaska","Nome Censu","AK",2180,20016
"84","Alaska","North Slope B","AK",2185,19744
"85","Alaska","Northwest Arctic B","AK",2188,15342
"86","Alaska","Prince of Wales-Hyder Censu","AK",2198,12844
"87","Alaska","Sitka City and B","AK",2220,17294
"88","Alaska","Skagway Munici","AK",2230,2296
"89","Alaska","Southeast Fairbanks Censu","AK",2240,13836
"90","Alaska","Valdez-Cordova Censu","AK",2261,18328
"91","Alaska","Wrangell City and B","AK",2275,5006
"92","Alaska","Yakutat City and B","AK",2282,1208
"93","Alaska","Yukon-Koyukuk Censu","AK",2290,10654
"94","Arizona","Apache ","AZ",4001,143636
"95","Arizona","Cochise ","AZ",4003,253540
"96","Arizona","Coconino ","AZ",4005,285708
"97","Arizona","Gila ","AZ",4007,107778
"98","Arizona","Graham ","AZ",4009,76144
"99","Arizona","Greenlee ","AZ",4011,18966
"100","Arizona","La Paz ","AZ",4012,42196
"101","Arizona","Maricopa ","AZ",4013,8821648
"102","Arizona","Mohave ","AZ",4015,419100
"103","Arizona","Navajo ","AZ",4017,220890
"104","Arizona","Pima ","AZ",4019,2078146
"105","Arizona","Pinal ","AZ",4021,894276
"106","Arizona","Santa Cruz ","AZ",4023,93022
"107","Arizona","Yavapai ","AZ",4025,463986
"108","Arizona","Yuma ","AZ",4027,424256
"109","Arkansas","Arkansas ","AR",5001,35538
"110","Arkansas","Ashley ","AR",5003,40092
"111","Arkansas","Baxter ","AR",5005,83238
"112","Arkansas","Benton ","AR",5007,545216
"113","Arkansas","Boone ","AR",5009,74960
"114","Arkansas","Bradley ","AR",5011,21794
"115","Arkansas","Calhoun ","AR",5013,10554
"116","Arkansas","Carroll ","AR",5015,56446
"117","Arkansas","Chicot ","AR",5017,20876
"118","Arkansas","Clark ","AR",5019,44122
"119","Arkansas","Clay ","AR",5021,29694
"120","Arkansas","Cleburne ","AR",5023,49930
"121","Arkansas","Cleveland ","AR",5025,16036
"122","Arkansas","Columbia ","AR",5027,47074
"123","Arkansas","Conway ","AR",5029,41782
"124","Arkansas","Craighead ","AR",5031,217116
"125","Arkansas","Crawford ","AR",5033,126812
"126","Arkansas","Crittenden ","AR",5035,96684
"127","Arkansas","Cross ","AR",5037,33352
"128","Arkansas","Dallas ","AR",5039,14364
"129","Arkansas","Desha ","AR",5041,23024
"130","Arkansas","Drew ","AR",5043,36656
"131","Arkansas","Faulkner ","AR",5045,249612
"132","Arkansas","Franklin ","AR",5047,35620
"133","Arkansas","Fulton ","AR",5049,24538
"134","Arkansas","Garland ","AR",5051,198308
"135","Arkansas","Grant ","AR",5053,36376
"136","Arkansas","Greene ","AR",5055,90650
"137","Arkansas","Hempstead ","AR",5057,43482
"138","Arkansas","Hot Spring ","AR",5059,67402
"139","Arkansas","Howard ","AR",5061,26682
"140","Arkansas","Independence ","AR",5063,75356
"141","Arkansas","Izard ","AR",5065,27186
"142","Arkansas","Jackson ","AR",5067,33622
"143","Arkansas","Jefferson ","AR",5069,136228
"144","Arkansas","Johnson ","AR",5071,53484
"145","Arkansas","Lafayette ","AR",5073,13364
"146","Arkansas","Lawrence ","AR",5075,32868
"147","Arkansas","Lee ","AR",5077,17970
"148","Arkansas","Lincoln ","AR",5079,26766
"149","Arkansas","Little River ","AR",5081,24652
"150","Arkansas","Logan ","AR",5083,43474
"151","Arkansas","Lonoke ","AR",5085,147314
"152","Arkansas","Madison ","AR",5087,32962
"153","Arkansas","Marion ","AR",5089,33444
"154","Arkansas","Miller ","AR",5091,87184
"155","Arkansas","Mississippi ","AR",5093,82478
"156","Arkansas","Monroe ","AR",5095,13800
"157","Arkansas","Montgomery ","AR",5097,17848
"158","Arkansas","Nevada ","AR",5099,16652
"159","Arkansas","Newton ","AR",5101,15610
"160","Arkansas","Ouachita ","AR",5103,47212
"161","Arkansas","Perry ","AR",5105,20704
"162","Arkansas","Phillips ","AR",5107,36058
"163","Arkansas","Pike ","AR",5109,21346
"164","Arkansas","Poinsett ","AR",5111,47948
"165","Arkansas","Polk ","AR",5113,40098
"166","Arkansas","Pope ","AR",5115,128000
"167","Arkansas","Prairie ","AR",5117,16148
"168","Arkansas","Pulaski ","AR",5119,785360
"169","Arkansas","Randolph ","AR",5121,35896
"170","Arkansas","Saline ","AR",5125,242842
"171","Arkansas","Scott ","AR",5127,20638
"172","Arkansas","Searcy ","AR",5129,15916
"173","Arkansas","Sebastian ","AR",5131,255506
"174","Arkansas","Sevier ","AR",5133,34278
"175","Arkansas","Sharp ","AR",5135,34732
"176","Arkansas","St. Francis ","AR",5123,50878
"177","Arkansas","Stone ","AR",5137,24914
"178","Arkansas","Union ","AR",5139,78252
"179","Arkansas","Van Buren ","AR",5141,33206
"180","Arkansas","Washington ","AR",5143,473922
"181","Arkansas","White ","AR",5145,157454
"182","Arkansas","Woodruff ","AR",5147,12980
