"","FIPS","State","Countynames","poverty_perc"
"3",1001,"AL","Autauga ",13.8
"4",1003,"AL","Baldwin ",9.8
"5",1005,"AL","Barbour ",30.9
"6",1007,"AL","Bibb ",21.8
"7",1009,"AL","Blount ",13.2
"8",1011,"AL","Bullock ",42.5
"9",1013,"AL","Butler ",24.5
"10",1015,"AL","Calhoun ",19.5
"11",1017,"AL","Chambers ",18.7
"12",1019,"AL","Cherokee ",16.3
"13",1021,"AL","Chilton ",17.3
"14",1023,"AL","Choctaw ",22.1
"15",1025,"AL","Clarke ",22.8
"16",1027,"AL","Clay ",17.6
"17",1029,"AL","Cleburne ",16
"18",1031,"AL","Coffee ",13.8
"19",1033,"AL","Colbert ",13.8
"20",1035,"AL","Conecuh ",24.4
"21",1037,"AL","Coosa ",18.9
"22",1039,"AL","Covington ",19.9
"23",1041,"AL","Crenshaw ",19.5
"24",1043,"AL","Cullman ",14.5
"25",1045,"AL","Dale ",16.2
"26",1047,"AL","Dallas ",31.4
"27",1049,"AL","DeKalb ",21.3
"28",1051,"AL","Elmore ",11.2
"29",1053,"AL","Escambia ",23.6
"30",1055,"AL","Etowah ",17.5
"31",1057,"AL","Fayette ",23.5
"32",1059,"AL","Franklin ",19.2
"33",1061,"AL","Geneva ",21.3
"34",1063,"AL","Greene ",30.1
"35",1065,"AL","Hale ",25.6
"36",1067,"AL","Henry ",17.9
"37",1069,"AL","Houston ",16.5
"38",1071,"AL","Jackson ",19.7
"39",1073,"AL","Jefferson ",16.1
"40",1075,"AL","Lamar ",17.4
"41",1077,"AL","Lauderdale ",14
"42",1079,"AL","Lawrence ",19.3
"43",1081,"AL","Lee ",19
"44",1083,"AL","Limestone ",11.4
"45",1085,"AL","Lowndes ",25.1
"46",1087,"AL","Macon ",30.2
"47",1089,"AL","Madison ",11.9
"48",1091,"AL","Marengo ",24
"49",1093,"AL","Marion ",20.2
"50",1095,"AL","Marshall ",18.3
"51",1097,"AL","Mobile ",20.8
"52",1099,"AL","Monroe ",21.9
"53",1101,"AL","Montgomery ",20.1
"54",1103,"AL","Morgan ",13.2
"55",1105,"AL","Perry ",35.3
"56",1107,"AL","Pickens ",23.1
"57",1109,"AL","Pike ",23.6
"58",1111,"AL","Randolph ",19.7
"59",1113,"AL","Russell ",21.7
"60",1115,"AL","St. Clair ",12
"61",1117,"AL","Shelby ",8
"62",1119,"AL","Sumter ",34.7
"63",1121,"AL","Talladega ",19.3
"64",1123,"AL","Tallapoosa ",19.7
"65",1125,"AL","Tuscaloosa ",16.8
"66",1127,"AL","Walker ",17.9
