"","State","Countynames","AfricanAme_pop","State_abbrev","FIPS"
"1","Alabama","Autauga ",21830,"AL",1001
"2","Alabama","Baldwin ",38984,"AL",1003
"3","Alabama","Barbour ",24084,"AL",1005
"4","Alabama","Bibb ",9540,"AL",1007
"5","Alabama","Blount ",1900,"AL",1009
"6","Alabama","Bullock ",14336,"AL",1011
"7","Alabama","Butler ",17678,"AL",1013
"8","Alabama","Calhoun ",48306,"AL",1015
"9","Alabama","Chambers ",26892,"AL",1017
"10","Alabama","Cherokee ",2218,"AL",1019
"11","Alabama","Chilton ",9158,"AL",1021
"12","Alabama","Choctaw ",10710,"AL",1023
"13","Alabama","Clarke ",21348,"AL",1025
"14","Alabama","Clay ",3736,"AL",1027
"15","Alabama","Cleburne ",882,"AL",1029
"16","Alabama","Coffee ",18384,"AL",1031
"17","Alabama","Colbert ",17750,"AL",1033
"18","Alabama","Conecuh ",11360,"AL",1035
"19","Alabama","Coosa ",6618,"AL",1037
"20","Alabama","Covington ",9328,"AL",1039
"21","Alabama","Crenshaw ",6488,"AL",1041
"22","Alabama","Cullman ",2232,"AL",1043
"23","Alabama","Dale ",20524,"AL",1045
"24","Alabama","Dallas ",53988,"AL",1047
"25","Alabama","DeKalb ",2650,"AL",1049
"26","Alabama","Elmore ",35140,"AL",1051
"27","Alabama","Escambia ",23278,"AL",1053
"28","Alabama","Etowah ",32188,"AL",1055
"29","Alabama","Fayette ",3940,"AL",1057
"30","Alabama","Franklin ",2854,"AL",1059
"31","Alabama","Geneva ",4982,"AL",1061
"32","Alabama","Greene ",13194,"AL",1063
"33","Alabama","Hale ",17122,"AL",1065
"34","Alabama","Henry ",9046,"AL",1067
"35","Alabama","Houston ",56982,"AL",1069
"36","Alabama","Jackson ",3710,"AL",1071
"37","Alabama","Jefferson ",573002,"AL",1073
"38","Alabama","Lamar ",2932,"AL",1075
"39","Alabama","Lauderdale ",18596,"AL",1077
"40","Alabama","Lawrence ",7212,"AL",1079
"41","Alabama","Lee ",75704,"AL",1081
"42","Alabama","Limestone ",26640,"AL",1083
"43","Alabama","Lowndes ",14472,"AL",1085
"44","Alabama","Macon ",29772,"AL",1087
"45","Alabama","Madison ",182546,"AL",1089
"46","Alabama","Marengo ",19590,"AL",1091
"47","Alabama","Marion ",2308,"AL",1093
"48","Alabama","Marshall ",5812,"AL",1095
"49","Alabama","Mobile ",298658,"AL",1097
"50","Alabama","Monroe ",17372,"AL",1099
"51","Alabama","Montgomery ",266458,"AL",1101
"52","Alabama","Morgan ",31078,"AL",1103
"53","Alabama","Perry ",12410,"AL",1105
"54","Alabama","Pickens ",16038,"AL",1107
"55","Alabama","Pike ",25124,"AL",1109
"56","Alabama","Randolph ",8856,"AL",1111
"57","Alabama","Russell ",52794,"AL",1113
"58","Alabama","Shelby ",56342,"AL",1117
"59","Alabama","St. Clair ",16768,"AL",1115
"60","Alabama","Sumter ",18222,"AL",1119
"61","Alabama","Talladega ",52416,"AL",1121
"62","Alabama","Tallapoosa ",21988,"AL",1123
"63","Alabama","Tuscaloosa ",134006,"AL",1125
"64","Alabama","Walker ",7864,"AL",1127
"65","Alabama","Washington ",7700,"AL",1129
"66","Alabama","Wilcox ",15150,"AL",1131
"67","Alabama","Winston ",414,"AL",1133
"68","Alaska","Aleutians East B",812,"AK",2013
"69","Alaska","Aleutians West Censu",802,"AK",2016
"70","Alaska","Bethel Censu",334,"AK",2050
"71","Alaska","Bristol Bay B",18,"AK",2060
"72","Alaska","Denali B",88,"AK",2068
"73","Alaska","Dillingham Censu",74,"AK",2070
"74","Alaska","Fairbanks North Star B",10820,"AK",2090
"75","Alaska","Haines B",32,"AK",2100
"76","Alaska","Hoonah-Angoon Censu",82,"AK",2105
"77","Alaska","Kenai Peninsula B",968,"AK",2122
"78","Alaska","Ketchikan Gateway B",294,"AK",2130
"79","Alaska","Kodiak Island B",354,"AK",2150
"80","Alaska","Kusilvak Censu",144,"AK",2158
"81","Alaska","Lake and Peninsula B",32,"AK",2164
"82","Alaska","Matanuska-Susitna B",2748,"AK",2170
"83","Alaska","Nome Censu",166,"AK",2180
"84","Alaska","North Slope B",310,"AK",2185
"85","Alaska","Northwest Arctic B",244,"AK",2188
"86","Alaska","Prince of Wales-Hyder Censu",72,"AK",2198
"87","Alaska","Sitka City and B",174,"AK",2220
"88","Alaska","Skagway Munici",16,"AK",2230
"89","Alaska","Southeast Fairbanks Censu",276,"AK",2240
"90","Alaska","Valdez-Cordova Censu",194,"AK",2261
"91","Alaska","Wrangell City and B",24,"AK",2275
"92","Alaska","Yakutat City and B",24,"AK",2282
"93","Alaska","Yukon-Koyukuk Censu",104,"AK",2290
"94","Arizona","Apache ",820,"AZ",4001
"95","Arizona","Cochise ",11704,"AZ",4003
"96","Arizona","Coconino ",4178,"AZ",4005
"97","Arizona","Gila ",902,"AZ",4007
"98","Arizona","Graham ",1360,"AZ",4009
"99","Arizona","Greenlee ",398,"AZ",4011
"100","Arizona","La Paz ",512,"AZ",4012
"101","Arizona","Maricopa ",551738,"AZ",4013
"102","Arizona","Mohave ",5418,"AZ",4015
"103","Arizona","Navajo ",2228,"AZ",4017
"104","Arizona","Pima ",86504,"AZ",4019
"105","Arizona","Pinal ",46444,"AZ",4021
"106","Arizona","Santa Cruz ",870,"AZ",4023
"107","Arizona","Yavapai ",4060,"AZ",4025
"108","Arizona","Yuma ",11424,"AZ",4027
"109","Arkansas","Arkansas ",8840,"AR",5001
"110","Arkansas","Ashley ",9988,"AR",5003
"111","Arkansas","Baxter ",332,"AR",5005
"112","Arkansas","Benton ",11056,"AR",5007
"113","Arkansas","Boone ",320,"AR",5009
"114","Arkansas","Bradley ",6030,"AR",5011
"115","Arkansas","Calhoun ",2254,"AR",5013
"116","Arkansas","Carroll ",456,"AR",5015
"117","Arkansas","Chicot ",11338,"AR",5017
"118","Arkansas","Clark ",10798,"AR",5019
"119","Arkansas","Clay ",228,"AR",5021
"120","Arkansas","Cleburne ",216,"AR",5023
"121","Arkansas","Cleveland ",1858,"AR",5025
"122","Arkansas","Columbia ",16906,"AR",5027
"123","Arkansas","Conway ",4782,"AR",5029
"124","Arkansas","Craighead ",35260,"AR",5031
"125","Arkansas","Crawford ",2036,"AR",5033
"126","Arkansas","Crittenden ",52236,"AR",5035
"127","Arkansas","Cross ",7634,"AR",5037
"128","Arkansas","Dallas ",5938,"AR",5039
"129","Arkansas","Desha ",11062,"AR",5041
"130","Arkansas","Drew ",10272,"AR",5043
"131","Arkansas","Faulkner ",30380,"AR",5045
"132","Arkansas","Franklin ",344,"AR",5047
"133","Arkansas","Fulton ",164,"AR",5049
"134","Arkansas","Garland ",17332,"AR",5051
"135","Arkansas","Grant ",1016,"AR",5053
"136","Arkansas","Greene ",1660,"AR",5055
"137","Arkansas","Hempstead ",13138,"AR",5057
"138","Arkansas","Hot Spring ",7624,"AR",5059
"139","Arkansas","Howard ",5606,"AR",5061
"140","Arkansas","Independence ",1762,"AR",5063
"141","Arkansas","Izard ",562,"AR",5065
"142","Arkansas","Jackson ",5958,"AR",5067
"143","Arkansas","Jefferson ",77824,"AR",5069
"144","Arkansas","Johnson ",1226,"AR",5071
"145","Arkansas","Lafayette ",4848,"AR",5073
"146","Arkansas","Lawrence ",396,"AR",5075
"147","Arkansas","Lee ",9736,"AR",5077
"148","Arkansas","Lincoln ",8148,"AR",5079
"149","Arkansas","Little River ",4890,"AR",5081
"150","Arkansas","Logan ",674,"AR",5083
"151","Arkansas","Lonoke ",9350,"AR",5085
"152","Arkansas","Madison ",298,"AR",5087
"153","Arkansas","Marion ",188,"AR",5089
"154","Arkansas","Miller ",22004,"AR",5091
"155","Arkansas","Mississippi ",29448,"AR",5093
"156","Arkansas","Monroe ",5524,"AR",5095
"157","Arkansas","Montgomery ",144,"AR",5097
"158","Arkansas","Nevada ",5156,"AR",5099
"159","Arkansas","Newton ",90,"AR",5101
"160","Arkansas","Ouachita ",18974,"AR",5103
"161","Arkansas","Perry ",420,"AR",5105
"162","Arkansas","Phillips ",22372,"AR",5107
"163","Arkansas","Pike ",728,"AR",5109
"164","Arkansas","Poinsett ",4040,"AR",5111
"165","Arkansas","Polk ",254,"AR",5113
"166","Arkansas","Pope ",4310,"AR",5115
"167","Arkansas","Prairie ",1898,"AR",5117
"168","Arkansas","Pulaski ",294802,"AR",5119
"169","Arkansas","Randolph ",366,"AR",5121
"170","Arkansas","Saline ",19576,"AR",5125
"171","Arkansas","Scott ",140,"AR",5127
"172","Arkansas","Searcy ",86,"AR",5129
"173","Arkansas","Sebastian ",17676,"AR",5131
"174","Arkansas","Sevier ",1422,"AR",5133
"175","Arkansas","Sharp ",318,"AR",5135
"176","Arkansas","St. Francis ",26936,"AR",5123
"177","Arkansas","Stone ",108,"AR",5137
"178","Arkansas","Union ",25738,"AR",5139
"179","Arkansas","Van Buren ",212,"AR",5141
"180","Arkansas","Washington ",17416,"AR",5143
"181","Arkansas","White ",7198,"AR",5145
"182","Arkansas","Woodruff ",3410,"AR",5147
"183","Arkansas","Yell ",844,"AR",5149
"184","California","Alameda ",371860,"CA",6001
"185","California","Alpine ",2,"CA",6003
"186","California","Amador ",2122,"CA",6005
"187","California","Butte ",8356,"CA",6007
"188","California","Calaveras ",896,"CA",6009
"189","California","Colusa ",540,"CA",6011
"190","California","Contra Costa ",219392,"CA",6013
"191","California","Del Norte ",1968,"CA",6015
"192","California","El Dorado ",3992,"CA",6017
"193","California","Fresno ",115678,"CA",6019
"194","California","Glenn ",764,"CA",6021
"195","California","Humboldt ",3918,"CA",6023
"196","California","Imperial ",12244,"CA",6025
"197","California","Inyo ",420,"CA",6027
"198","California","Kern ",112162,"CA",6029
"199","California","Kings ",21956,"CA",6031
"200","California","Lake ",2640,"CA",6033
"201","California","Lassen ",5116,"CA",6035
"202","California","Los Angeles ",1812934,"CA",6037
"203","California","Madera ",13406,"CA",6039
"204","California","Marin ",14642,"CA",6041
"205","California","Mariposa ",440,"CA",6043
"206","California","Mendocino ",1902,"CA",6045
"207","California","Merced ",21858,"CA",6047
"208","California","Modoc ",238,"CA",6049
"209","California","Mono ",230,"CA",6051
"210","California","Monterey ",30430,"CA",6053
"211","California","Napa ",6872,"CA",6055
"212","California","Nevada ",1200,"CA",6057
"213","California","Orange ",135578,"CA",6059
"214","California","Placer ",14748,"CA",6061
"215","California","Plumas ",382,"CA",6063
"216","California","Riverside ",354242,"CA",6065
"217","California","Sacramento ",335056,"CA",6067
"218","California","San Benito ",1870,"CA",6069
"219","California","San Bernardino ",409106,"CA",6071
"220","California","San Diego ",369558,"CA",6073
"221","California","San Francisco ",98368,"CA",6075
"222","California","San Joaquin ",125024,"CA",6077
"223","California","San Luis Obispo ",11658,"CA",6079
"224","California","San Mateo ",42246,"CA",6081
"225","California","Santa Barbara ",21714,"CA",6083
"226","California","Santa Clara ",109922,"CA",6085
"227","California","Santa Cruz ",7918,"CA",6087
"228","California","Shasta ",4330,"CA",6089
"229","California","Sierra ",38,"CA",6091
"230","California","Siskiyou ",1294,"CA",6093
"231","California","Solano ",132334,"CA",6095
"232","California","Sonoma ",20538,"CA",6097
"233","California","Stanislaus ",38002,"CA",6099
"234","California","Sutter ",5278,"CA",6101
"235","California","Tehama ",1274,"CA",6103
"236","California","Trinity ",174,"CA",6105
"237","California","Tulare ",20456,"CA",6107
"238","California","Tuolumne ",2218,"CA",6109
"239","California","Ventura ",40464,"CA",6111
"240","California","Yolo ",13192,"CA",6113
"241","California","Yuba ",6840,"CA",6115
"242","Colorado","Adams ",40342,"CO",8001
"243","Colorado","Alamosa ",706,"CO",8003
"244","Colorado","Arapahoe ",148150,"CO",8005
"245","Colorado","Archuleta ",214,"CO",8007
"246","Colorado","Baca ",78,"CO",8009
"247","Colorado","Bent ",928,"CO",8011
"248","Colorado","Boulder ",7640,"CO",8013
"249","Colorado","Chaffee ",696,"CO",8015
"250","Colorado","Cheyenne ",34,"CO",8017
"251","Colorado","Clear Creek ",216,"CO",8019
"252","Colorado","Conejos ",154,"CO",8021
"253","Colorado","Costilla ",156,"CO",8023
"254","Colorado","Crowley ",1252,"CO",8025
"255","Colorado","Custer ",148,"CO",8027
"256","Colorado","Delta ",504,"CO",8029
"257","Colorado","Denver ",140808,"CO",8031
"258","Colorado","Dolores ",16,"CO",8033
"259","Colorado","Douglas ",10548,"CO",8035
"260","Colorado","Eagle ",1718,"CO",8037
"261","Colorado","El Paso ",98948,"CO",8041
"262","Colorado","Elbert ",710,"CO",8039
"263","Colorado","Fremont ",3778,"CO",8043
"264","Colorado","Garfield ",1488,"CO",8045
"265","Colorado","Gilpin ",148,"CO",8047
"266","Colorado","Grand ",320,"CO",8049
"267","Colorado","Gunnison ",246,"CO",8051
"268","Colorado","Hinsdale ",10,"CO",8053
"269","Colorado","Huerfano ",182,"CO",8055
"270","Colorado","Jackson ",4,"CO",8057
"271","Colorado","Jefferson ",16346,"CO",8059
"272","Colorado","Kiowa ",18,"CO",8061
"273","Colorado","Kit Carson ",116,"CO",8063
"274","Colorado","La Plata ",688,"CO",8067
"275","Colorado","Lake ",164,"CO",8065
"276","Colorado","Larimer ",8068,"CO",8069
"277","Colorado","Las Animas ",636,"CO",8071
"278","Colorado","Lincoln ",624,"CO",8073
"279","Colorado","Logan ",1648,"CO",8075
"280","Colorado","Mesa ",2888,"CO",8077
"281","Colorado","Mineral ",4,"CO",8079
"282","Colorado","Moffat ",206,"CO",8081
"283","Colorado","Montezuma ",268,"CO",8083
"284","Colorado","Montrose ",614,"CO",8085
"285","Colorado","Morgan ",2144,"CO",8087
"286","Colorado","Otero ",646,"CO",8089
"287","Colorado","Ouray ",8,"CO",8091
"288","Colorado","Park ",322,"CO",8093
"289","Colorado","Phillips ",90,"CO",8095
"290","Colorado","Pitkin ",376,"CO",8097
"291","Colorado","Prowers ",216,"CO",8099
"292","Colorado","Pueblo ",8648,"CO",8101
"293","Colorado","Rio Blanco ",158,"CO",8103
"294","Colorado","Rio Grande ",230,"CO",8105
"295","Colorado","Routt ",474,"CO",8107
"296","Colorado","Saguache ",152,"CO",8109
"297","Colorado","San Juan ",2,"CO",8111
"298","Colorado","San Miguel ",142,"CO",8113
"299","Colorado","Sedgwick ",44,"CO",8115
"300","Colorado","Summit ",788,"CO",8117
"301","Colorado","Teller ",476,"CO",8119
"302","Colorado","Washington ",122,"CO",8121
"303","Colorado","Weld ",9736,"CO",8123
"304","Colorado","Yuma ",120,"CO",8125
"305","Connecticut","Fairfield ",240200,"CT",9001
"306","Connecticut","Hartford ",279604,"CT",9003
"307","Connecticut","Litchfield ",8248,"CT",9005
"308","Connecticut","Middlesex ",17878,"CT",9007
"309","Connecticut","New Haven ",256590,"CT",9009
"310","Connecticut","New London ",37226,"CT",9011
"311","Connecticut","Tolland ",11364,"CT",9013
"312","Connecticut","Windham ",7486,"CT",9015
"313","Delaware","Kent ",95612,"DE",10001
"314","Delaware","New Castle ",292076,"DE",10003
"315","Delaware","Sussex ",56452,"DE",10005
"316","Florida","Alachua ",111150,"FL",12001
"317","Florida","Baker ",7944,"FL",12003
"318","Florida","Bay ",43282,"FL",12005
"319","Florida","Bradford ",11122,"FL",12007
"320","Florida","Brevard ",128032,"FL",12009
"321","Florida","Broward ",1174364,"FL",12011
"322","Florida","Calhoun ",3854,"FL",12013
"323","Florida","Charlotte ",22200,"FL",12015
"324","Florida","Citrus ",9312,"FL",12017
"325","Florida","Clay ",53246,"FL",12019
"326","Florida","Collier ",56104,"FL",12021
"327","Florida","Columbia ",26026,"FL",12023
"328","Florida","DeSoto ",9462,"FL",12027
"329","Florida","Dixie ",3284,"FL",12029
"330","Florida","Duval ",581010,"FL",12031
"331","Florida","Escambia ",146458,"FL",12033
"332","Florida","Flagler ",24070,"FL",12035
"333","Florida","Franklin ",2910,"FL",12037
"334","Florida","Gadsden ",51190,"FL",12039
"335","Florida","Gilchrist ",2046,"FL",12041
"336","Florida","Glades ",3796,"FL",12043
"337","Florida","Gulf ",5510,"FL",12045
"338","Florida","Hamilton ",9400,"FL",12047
"339","Florida","Hardee ",4070,"FL",12049
"340","Florida","Hendry ",10020,"FL",12051
"341","Florida","Hernando ",22822,"FL",12053
"342","Florida","Highlands ",22128,"FL",12055
"343","Florida","Hillsborough ",512802,"FL",12057
"344","Florida","Holmes ",2628,"FL",12059
"345","Florida","Indian River ",29852,"FL",12061
"346","Florida","Jackson ",25944,"FL",12063
"347","Florida","Jefferson ",9804,"FL",12065
"348","Florida","Lafayette ",2358,"FL",12067
"349","Florida","Lake ",80778,"FL",12069
"350","Florida","Lee ",137022,"FL",12071
