"","State","summer_tmmx","winter_tmmx","summer_rmax","winter_rmax","Population","young_perc","median_perc","old_perc","poverty_perc","Median_HH_income","lowerthan_HS","with_HS","with_BS","BS_higher","black_perc","latino_perc","area","density"
"1","Alabama",91.5992994264555,60.2092083684751,96.9562733873861,86.439622392894,9775742,0.0760156378719903,0.0560475446305043,0.0383296657172746,0.201626865671642,43479.8208955224,0.177925373134328,0.358417910447761,0.286507462686567,0.177074626865672,0.277,0.044,50743.98,192.648310203496
"2","Alaska",NA,NA,NA,NA,1474876,0.196683455964725,0.137001347949128,0.0661085374344493,0.1391,64788.4666666667,0.0971,0.347666666666667,0.322666666666667,0.232566666666667,0.054,0.072,571951.25,2.57867431883399
"3","Arizona",94.5947876161956,59.644027123969,54.0547944543211,66.722620739718,14343292,0.167942556360882,0.10916560333928,0.0993534510879897,0.191266666666667,49105.8666666667,0.159466666666667,0.2828,0.357333333333333,0.200666666666667,0.062,0.316,113634.56,126.222973011028
"4","Arkansas",89.8209103071757,55.9570859136044,95.3785489012185,87.4627555594575,6027650,0.0831848746367649,0.0603720123367956,0.044262740525418,0.196213333333333,41801.3733333333,0.161826666666667,0.387146666666667,0.28904,0.161853333333333,0.166,0.077,52068.13,115.764672170865
"5","California",86.3051561454959,55.6465990803581,65.6362641615254,84.0834219247018,79114090,0.173585653014044,0.115054561163639,0.0796292658853727,0.140672413793103,67098.6551724138,0.155862068965517,0.235206896551724,0.340586206896552,0.268293103448276,0.076,0.393,155959.32,507.273883984619
"6","Colorado",79.721026474727,39.7785900455382,71.7724718770679,79.9677694858312,11391128,0.127169242155949,0.094182036504105,0.0658318895430676,0.130578125,59599.671875,0.091453125,0.27196875,0.320921875,0.3155625,0.057,0.217,103717.49,109.828419488362
"7","Connecticut",82.3100856959301,43.8433291182664,88.1060715987033,80.8314034010063,7145330,0.157744944118366,0.118146937766838,0.0728389622516799,0.094875,77438.625,0.08575,0.282,0.263375,0.369125,0.135,0.165,4844.79,1474.84823903616
"8","Delaware",85.9529925277826,49.7149333540328,92.9663240212623,84.3248691562912,1934342,0.10691624653869,0.0798560813709055,0.0587180732979652,0.125666666666667,61454.3333333333,0.112333333333333,0.322,0.279333333333333,0.286666666666667,0.248,0.095,1953.57,990.157506513716
"9","Florida",91.8906550624005,70.950620812405,98.0422829409525,88.5573701363707,42598650,0.110415359812818,0.0826205200329692,0.0694769156469388,0.162597014925373,50621.1044776119,0.146358208955224,0.338746268656716,0.294970149253731,0.219865671641791,0.182,0.261,53926.83,789.934249797364
"10","Georgia",92.6702957310575,61.654159954994,95.061316404572,85.1973974552229,21038950,0.107574998917635,0.0736134541725314,0.0478606410915118,0.196861635220126,47507.0817610063,0.181,0.358691823899371,0.278333333333333,0.181955974842767,0.337,0.098,57906.15,363.328420210979
"11","Hawaii",NA,NA,NA,NA,2840982,0.161996298166923,0.146142161706618,0.119127356573148,0.101,73140.5,0.0902,0.292,0.3284,0.289,0.036,0.107,6422.64,442.338664474422
"12","Idaho",80.4247867770611,35.5950411836202,65.1110129296345,86.3907765760493,3508416,0.131597540401928,0.0919808386631418,0.0687585420986927,0.129409090909091,52215.75,0.118636363636364,0.312954545454545,0.355636363636364,0.212818181818182,0.014,0.127,82747.2,42.3992110911306
"13","Illinois",85.4377358935594,42.2698477801821,93.8674894403367,87.8760555120988,25482160,0.0755815787951327,0.0538967051014688,0.0366037533698912,0.129656862745098,56225.8235294118,0.105176470588235,0.347088235294118,0.336813725490196,0.211039215686275,0.156,0.174,55583.57,458.447703161204
"14","Indiana",84.459469544953,42.8591562640477,92.9127384933836,87.0679919670997,13383756,0.0770129695226862,0.0550094703305855,0.036052861580014,0.120826086956522,56036.1847826087,0.120315217391304,0.393141304347826,0.292032608695652,0.19445652173913,0.111,0.071,35866.89,373.150724804966
"15","Iowa",83.1121718091572,34.3033957552645,93.8515885976817,90.0580117151485,6312290,0.0785208594401987,0.0556708211989619,0.0412944765999243,0.109050505050505,57229.6262626263,0.0848686868686869,0.357585858585859,0.340232323232323,0.217313131313131,0.05,0.062,55869.33,112.983098240126
"16","Kansas",89.8758976188951,48.2550598335692,90.3223588323676,89.70540802302,5823010,0.0833960976886961,0.0591511493829607,0.0460836790051989,0.125285714285714,52188.780952381,0.104057142857143,0.313514285714286,0.35392380952381,0.228466666666667,0.076,0.121,81814.89,71.1729857486822
"17","Kentucky",86.7465900068891,48.9507896787176,94.4624277679689,86.2251774929518,8936804,0.0830821050629698,0.063085828812492,0.0418340364822962,0.19655,45238.5166666667,0.185483333333333,0.38125,0.272266666666667,0.161008333333333,0.096,0.038,39728.21,224.948569291191
"18","Maine",76.5950112181991,35.2469459652708,92.1479942149435,82.7409441300934,2676808,0.08780386450811,0.0787090921394329,0.0571333547566218,0.1311875,51536.5,0.083625,0.3468125,0.298125,0.2715625,0.022,0.017,30861.55,86.7360194157455
"19","Maryland",85.9494227505928,48.2003678091392,91.6344180961127,84.8209997050696,12085436,0.116308884419979,0.0847735375688119,0.0493244640262827,0.100173913043478,76097.5217391304,0.100739130434783,0.305913043478261,0.27304347826087,0.320434782608696,0.326,0.104,9773.83,1236.50974080785
"20","Massachusetts",80.9895831323906,43.278394117612,89.3867683902597,82.2015432092181,13804298,0.116908577359857,0.0874262708867575,0.0620360453869724,0.0995,75312.7857142857,0.0855714285714286,0.250428571428571,0.252785714285714,0.411428571428571,0.104,0.123,7840.02,1760.74780421479
"21","Michigan",80.2691171445532,35.3079602365029,93.1401411439819,89.5967857635918,19991830,0.127461636513841,0.105998215487628,0.0831173488512016,0.138939759036145,51601.3734939759,0.0956746987951807,0.350180722891566,0.334915662650602,0.219253012048193,0.154,0.052,56803.8,351.94529239241
"22","Minnesota",79.4276338254369,27.7277438144624,93.4850006799831,86.2762864151911,11222358,0.125721607917372,0.0966838965561184,0.07107794937163,0.101942528735632,60664.3218390805,0.0810344827586207,0.327919540229885,0.355816091954023,0.235252873563218,0.081,0.055,79610.09,140.966528237815
"23","Mississippi",91.5690785269851,60.9220918227337,96.6772686837147,87.8449181512307,5973060,0.0967736615845043,0.0640648206946125,0.0434166009463953,0.231292682926829,39932.7195121951,0.19590243902439,0.331731707317073,0.298524390243902,0.173829268292683,0.386,0.034,46906.98,127.338404646814
"24","Missouri",87.1155329932266,46.5930454078747,93.2062182563764,87.513120988009,12252904,0.0812295779785626,0.0603426474662509,0.0430954253299886,0.156447368421053,46800.9561403509,0.138482456140351,0.394473684210526,0.284552631578947,0.182473684210526,0.13,0.043,68885.92,177.872401210581
"25","Montana",79.1763561455088,36.7535863385123,79.2642796701618,81.7869606625821,2124610,0.112295163835506,0.0928201589936804,0.0752360578603839,0.144339285714286,49370.2142857143,0.0811428571428571,0.339267857142857,0.33575,0.243785714285714,0.011,0.04,145552.45,14.5968686889159
"26","Nebraska",86.23016689368,40.3293966242746,88.7888920662035,89.760448090176,3858536,0.0985645503744551,0.075376818101641,0.0610353307607626,0.118655913978495,53588.8494623656,0.0855913978494624,0.324623655913978,0.368741935483871,0.221021505376344,0.063,0.112,76872.45,50.194003183195
"27","Nevada",87.2318689624355,44.3564571978858,48.9318235216111,81.4008314379407,6068784,0.12578720265639,0.0981811854965248,0.0740340087403196,0.1235,61101.25,0.1241875,0.3333125,0.36075,0.1819375,0.117,0.29,109825.99,55.2581770489845
"28","New Hampshire",79.0148517326136,37.5228871614401,91.7396400575638,83.1306527466462,2712916,0.128638921918367,0.0980658944033181,0.0644183631097502,0.0888,67052.6,0.0753,0.3012,0.2902,0.3332,0.024,0.039,8968.1,302.507331541798
"29","New Jersey",85.146036535334,46.9082519910969,89.3424901430012,82.6292302315405,17817040,0.105674098462653,0.0825863317756532,0.0541690676467993,0.0928571428571429,81475.8095238095,0.103238095238095,0.288,0.242904761904762,0.365952380952381,0.163,0.206,7417.36,2402.07297475112
"30","New Mexico",88.2976745058633,51.5984107477035,70.5118767247383,79.5823205410563,4190856,0.12221694678976,0.0865532645103187,0.0696320080948601,0.211151515151515,43713.303030303,0.158545454545455,0.311212121212121,0.316878787878788,0.213424242424242,0.034,0.491,121355.52,34.5337072429833
"31","New York",80.5428480629125,39.8333099503964,88.3294762009281,84.0146776554269,39084418,0.10517797232133,0.0742468440961356,0.0490807501691253,0.129612903225806,60891.8225806452,0.110193548387097,0.320161290322581,0.290870967741935,0.278870967741935,0.193,0.192,47213.77,827.81819795369
"32","North Carolina",88.028238616224,54.7552036007469,96.5172420516551,83.0099822338164,20767240,0.118873351734908,0.0881161836588529,0.062123539566003,0.16385,48691.64,0.15486,0.30656,0.3213,0.21732,0.236,0.096,48710.9,426.336610491697
"33","North Dakota",79.7459988156732,28.1821664747529,89.6270537213789,84.5431763878162,1520154,0.129508388364324,0.0961213584865249,0.0728878594877675,0.116245283018868,58070.3018867925,0.0959245283018868,0.310735849056604,0.368094339622641,0.225132075471698,0.041,0.039,68975.93,22.0389054558597
