"","Code","State","FIPS","Countynames"
"1","AK","Alaska",2013,"Aleutians East B"
"2","AK","Alaska",2016,"Aleutians West Censu"
"3","AK","Alaska",2020,"Municipality of Anc"
"4","AK","Alaska",2050,"Bethel Censu"
"5","AK","Alaska",2060,"Bristol Bay B"
"6","AK","Alaska",2068,"Denali B"
"7","AK","Alaska",2070,"Dillingham Censu"
"8","AK","Alaska",2090,"Fairbanks North Star B"
"9","AK","Alaska",2100,"Haines B"
"10","AK","Alaska",2105,"Hoonah-Angoon Censu"
"11","AK","Alaska",2110,"City and Borough of "
"12","AK","Alaska",2122,"Kenai Peninsula B"
"13","AK","Alaska",2130,"Ketchikan Gateway B"
"14","AK","Alaska",2150,"Kodiak Island B"
"15","AK","Alaska",2158,"Kusilvak Censu"
"16","AK","Alaska",2164,"Lake and Peninsula B"
"17","AK","Alaska",2170,"Matanuska-Susitna B"
"18","AK","Alaska",2180,"Nome Censu"
"19","AK","Alaska",2185,"North Slope B"
"20","AK","Alaska",2188,"Northwest Arctic B"
"21","AK","Alaska",2195,"Petersburg Censu"
"22","AK","Alaska",2198,"Prince of Wales-Hyder Censu"
"23","AK","Alaska",2220,"Sitka City and B"
"24","AK","Alaska",2230,"Skagway Munici"
"25","AK","Alaska",2240,"Southeast Fairbanks Censu"
"26","AK","Alaska",2261,"Valdez-Cordova Censu"
"27","AK","Alaska",2270,"Wade Hampton Censu"
"28","AK","Alaska",2275,"Wrangell City and B"
"29","AK","Alaska",2282,"Yakutat City and B"
"30","AK","Alaska",2290,"Yukon-Koyukuk Censu"
"31","AL","Alabama",1001,"Autauga "
"32","AL","Alabama",1003,"Baldwin "
"33","AL","Alabama",1005,"Barbour "
"34","AL","Alabama",1007,"Bibb "
"35","AL","Alabama",1009,"Blount "
"36","AL","Alabama",1011,"Bullock "
"37","AL","Alabama",1013,"Butler "
"38","AL","Alabama",1015,"Calhoun "
"39","AL","Alabama",1017,"Chambers "
"40","AL","Alabama",1019,"Cherokee "
"41","AL","Alabama",1021,"Chilton "
"42","AL","Alabama",1023,"Choctaw "
"43","AL","Alabama",1025,"Clarke "
"44","AL","Alabama",1027,"Clay "
"45","AL","Alabama",1029,"Cleburne "
"46","AL","Alabama",1031,"Coffee "
"47","AL","Alabama",1033,"Colbert "
"48","AL","Alabama",1035,"Conecuh "
"49","AL","Alabama",1037,"Coosa "
"50","AL","Alabama",1039,"Covington "
"51","AL","Alabama",1041,"Crenshaw "
"52","AL","Alabama",1043,"Cullman "
"53","AL","Alabama",1045,"Dale "
"54","AL","Alabama",1047,"Dallas "
"55","AL","Alabama",1049,"DeKalb "
"56","AL","Alabama",1051,"Elmore "
"57","AL","Alabama",1053,"Escambia "
"58","AL","Alabama",1055,"Etowah "
"59","AL","Alabama",1057,"Fayette "
"60","AL","Alabama",1059,"Franklin "
"61","AL","Alabama",1061,"Geneva "
"62","AL","Alabama",1063,"Greene "
"63","AL","Alabama",1065,"Hale "
"64","AL","Alabama",1067,"Henry "
"65","AL","Alabama",1069,"Houston "
"66","AL","Alabama",1071,"Jackson "
"67","AL","Alabama",1073,"Jefferson "
"68","AL","Alabama",1075,"Lamar "
"69","AL","Alabama",1077,"Lauderdale "
"70","AL","Alabama",1079,"Lawrence "
"71","AL","Alabama",1081,"Lee "
"72","AL","Alabama",1083,"Limestone "
"73","AL","Alabama",1085,"Lowndes "
"74","AL","Alabama",1087,"Macon "
"75","AL","Alabama",1089,"Madison "
"76","AL","Alabama",1091,"Marengo "
"77","AL","Alabama",1093,"Marion "
"78","AL","Alabama",1095,"Marshall "
"79","AL","Alabama",1097,"Mobile "
"80","AL","Alabama",1099,"Monroe "
"81","AL","Alabama",1101,"Montgomery "
"82","AL","Alabama",1103,"Morgan "
"83","AL","Alabama",1105,"Perry "
