State_Abbrev,state,population,median.age,Black.perc,Hispanic.or.Latino.perc,area,HS_perc,poverty_perc,HS_lower,with_HS,Associate_perc,Bachelor_orhigher_perc
AL,Alabama,4864680,38.9,26.6,4.2,52420,30.9,17.5,14.2,30.9,29.9,24.9
AK,Alaska,738516,34,3.3,6.9,665384,28,10.8,7.3,28,35.5,29.2
AZ,Arizona,6946685,37.4,4.4,31.1,113990,24,16.1,13.2,24,33.9,28.9
AR,Arkansas,2990671,37.9,15.4,7.3,53179,34.1,17.6,13.8,34.1,29.5,22.6
CA,California,39148760,36.3,5.8,38.9,163695,20.6,14.3,17.1,20.6,29.1,33.3
CO,Colorado,5531141,36.6,4.1,21.4,104094,21.4,10.9,8.6,21.4,29.8,40.1
CT,Connecticut,3581504,40.8,10.6,15.7,5543,27.1,10,9.5,27.1,24.5,38.9
DE,Delaware,949495,40.2,22.1,9.1,2489,31.6,11.9,10.2,31.6,26.8,31.4
DC,District of Columbia,684498,33.9,46.9,10.9,68,17.2,16.8,9.4,17.2,15.9,57.6
FL,Florida,20598139,41.9,16.1,25.2,65758,28.8,14.8,12,28.8,30,29.2
GA,Georgia,10297484,36.5,31.5,9.4,59425,27.9,16,13.3,27.9,28.2,30.7
HI,Hawaii,1422029,38.9,1.8,10.4,10932,27.7,9.9,8.2,27.7,31.7,32.5
ID,Idaho,1687809,36.1,0.7,12.4,83569,27.7,13.8,9.4,27.7,35.9,26.9
IL,Illinois,12821497,37.9,14.2,17,57914,26.1,13.1,11.1,26.1,28.7,34.1
IN,Indiana,6637426,37.6,9.3,6.8,36420,33.5,14.1,11.4,33.5,29.1,25.9
IA,Iowa,3132499,38.1,3.5,5.9,56273,31.1,11.7,8,31.1,32.6,28.2
KS,Kansas,2908776,36.5,5.8,11.7,82278,26,12.4,9.3,26,31.8,32.9
KY,Kentucky,4440204,38.7,8,3.6,40408,33,17.9,14.3,33,29.1,23.6
LA,Louisiana,4663616,36.6,32.2,5,52378,34,19.4,15.2,34,27.1,23.7
ME,Maine,1332813,44.6,1.3,1.6,35380,31.8,12.5,7.7,31.8,29.6,30.9
MD,Maryland,6003435,38.6,29.8,9.8,12406,24.8,9.4,10,24.8,25.6,39.6
MA,Massachusetts,6830193,39.4,7.5,11.6,10554,24.2,10.8,9.6,24.2,23.3,42.9
MI,Michigan,9957488,39.7,13.8,5,96714,29,15,9.5,29,32.9,28.6
MN,Minnesota,5527358,37.9,6.2,5.3,86936,24.9,10.1,7,24.9,32.6,35.4
MS,Mississippi,2988762,37.2,37.7,3,48432,30.3,20.8,16.1,30.3,31.8,21.8
MO,Missouri,6090062,38.5,11.6,4.1,69707,30.7,14.2,10.4,30.7,30.2,28.6
MT,Montana,1041732,39.8,0.4,3.7,147040,29.2,13.7,6.8,29.2,32.7,31.2
NE,Nebraska,1904760,36.4,4.8,10.7,77348,26.3,11.6,8.9,26.3,33.5,31.3
NV,Nevada,2922849,37.9,8.9,28.5,110572,28.1,13.7,13.7,28.1,33.9,24.2
NH,New Hampshire,1343622,42.7,1.5,3.6,9349,27.6,7.9,7.1,27.6,28.8,36.5
NJ,New Jersey,8881845,39.8,13.5,19.9,8723,27.5,10.4,10.5,27.5,23.2,38.9
NM,New Mexico,2092434,37.5,2.1,48.5,121590,26.4,20,14.7,26.4,31.7,27.1
NY,New York,19618453,38.7,15.6,18.9,54555,26.1,14.6,13.5,26.1,24.4,35.9
NC,North Carolina,10155624,38.6,21.5,9.2,53819,25.9,15.4,12.6,25.9,31,30.5
ND,North Dakota,752201,35.1,2.7,3.5,70698,26.8,10.9,7.5,26.8,36.3,29.5
OH,Ohio,11641879,39.3,12.4,3.7,44826,33.3,14.5,9.9,33.3,29.1,27.8
OK,Oklahoma,3918137,36.4,7.3,10.4,69899,31.3,16,12.2,31.3,31.3,25.2
OR,Oregon,4081943,39.2,1.9,12.8,98379,23,14.1,9.6,23,34.5,32.9
PA,Pennsylvania,12791181,40.7,11.1,7.1,46054,35.1,12.8,9.8,35.1,24.3,30.8
RI,Rhode Island,1056611,39.9,6.6,15,1545,28.2,13.1,12.9,29.5,30.2,27.4
SC,South Carolina,4955925,39.2,27,5.6,32020,29.5,16,8.3,30.6,32.7,28.5
SD,South Dakota,864289,36.8,1.9,3.7,77116,30.6,13.6,13,32.4,28,26.6
TN,Tennessee,6651089,38.7,16.8,5.3,42144,32.4,16.1,16.8,25,28.9,29.3
TX,Texas,27885195,34.4,12.1,39.2,268596,25,15.5,8,22.9,35.8,33.3
UT,Utah,3045350,30.7,1.2,13.9,84897,22.9,10.3,7.4,29.2,26.1,37.3
VT,Vermont,624977,42.9,1.3,1.9,9616,29.2,11.2,10.7,24.1,27,38.2
VA,Virginia,8413774,38.1,19.2,9.2,42775,24.1,10.9,8.9,22.2,33.7,35.3
WA,Washington,7294336,37.6,3.7,12.5,71298,22.2,11.5,13.5,40.5,25.7,20.3
WV,West Virginia,1829054,42.4,3.6,1.5,24230,40.5,17.8,8.1,30.9,31.5,29.5
WI,Wisconsin,5778394,39.3,6.4,6.7,65496,30.9,11.9,7.1,28.7,37.3,26.9
WY,Wyoming,581836,37.3,1,9.8,97813,28.7,11.1,,,,
